total_requests,today_requests,datetime,arguments,success
1,1,2023-08-10 12:35:11.196560,"-l Boca Raton, FL, US",1
2,1,2023-08-11 12:35:38.570029,"-l Boca Raton, FL, US",1
3,2,2023-08-11 12:35:43.513525,"-l Boca Raton, FL, US",1
4,3,2023-08-11 12:40:33.321805,-l Dubai,1
5,4,2023-08-11 15:32:04.468084,-l Kaliningrad,1
6,5,2023-08-11 15:45:05.304781,-l Krutitcy,1
7,6,2023-08-11 15:46:18.011434,-u imperial,1
8,7,2023-08-11 17:57:21.770887,,1
9,1,2023-08-13 09:52:21.187622,,1
10,2,2023-08-13 09:53:29.086605,"-l Boca Raton, FL, US",1
11,3,2023-08-13 09:53:42.074408,-l Boca Raton,1
12,4,2023-08-13 10:42:00.028097,-l Boca Raton,1
13,5,2023-08-13 10:44:25.224767,-l Boca Raton,1
14,6,2023-08-13 10:44:49.042241,-l Abu-Dabi,0
15,7,2023-08-13 10:45:46.209599,-l abu dhabi,1
16,8,2023-08-13 15:04:10.896650,-l Boca Raton -u imperial,1
